dex_index,species_key,name,type1,type2,ability1,ability2,hp,attack,defense,sp_attack,sp_defense,speed,bst,catch_rate,gender_ratio,egg_group1,egg_group2,in_regional_dex,regional_dex_number,generation,keep,first_region_encountered,notes,count
0,SPECIES_NONE,None,Normal,,,,0,0,0,0,0,0,0,0,0,,,FALSE,,,,,,
1,SPECIES_BULBASAUR,Bulbasaur,Grass,Poison,Overgrow,,45,49,49,65,65,45,318,45,31,Monster,Grass,TRUE,231,1,Yes,Kanto,,1
2,SPECIES_IVYSAUR,Ivysaur,Grass,Poison,Overgrow,,60,62,63,80,80,60,405,45,31,Monster,Grass,TRUE,232,1,Yes,Kanto,,1
3,SPECIES_VENUSAUR,Venusaur,Grass,Poison,Overgrow,,80,82,83,100,100,80,525,45,31,Monster,Grass,TRUE,233,1,Yes,Kanto,,1
4,SPECIES_CHARMANDER,Charmander,Fire,,Blaze,,39,52,43,60,50,65,309,45,31,Monster,Dragon,TRUE,234,1,Yes,Kanto,,1
5,SPECIES_CHARMELEON,Charmeleon,Fire,,Blaze,,58,64,58,80,65,80,405,45,31,Monster,Dragon,TRUE,235,1,Yes,Kanto,,1
6,SPECIES_CHARIZARD,Charizard,Fire,Flying,Blaze,,78,84,78,109,85,100,534,45,31,Monster,Dragon,TRUE,236,1,Yes,Kanto,,1
7,SPECIES_SQUIRTLE,Squirtle,Water,,Torrent,,44,48,65,50,64,43,314,45,31,Monster,Water 1,TRUE,237,1,Yes,Kanto,,1
8,SPECIES_WARTORTLE,Wartortle,Water,,Torrent,,59,63,80,65,80,58,405,45,31,Monster,Water 1,TRUE,238,1,Yes,Kanto,,1
9,SPECIES_BLASTOISE,Blastoise,Water,,Torrent,,79,83,100,85,105,78,530,45,31,Monster,Water 1,TRUE,239,1,Yes,Kanto,,1
10,SPECIES_CATERPIE,Caterpie,Bug,,Shield Dust,,45,30,35,20,20,45,195,255,127,Bug,Bug,TRUE,24,1,Yes,Johto,,1
11,SPECIES_METAPOD,Metapod,Bug,,Shed Skin,,50,20,55,25,25,30,205,120,127,Bug,Bug,TRUE,25,1,Yes,Johto,,1
12,SPECIES_BUTTERFREE,Butterfree,Bug,Flying,Compound Eyes,,60,45,50,90,80,70,395,45,127,Bug,Bug,TRUE,26,1,Yes,Johto,,1
13,SPECIES_WEEDLE,Weedle,Bug,Poison,Shield Dust,,40,35,30,20,20,50,195,255,127,Bug,Bug,TRUE,27,1,Yes,Johto,,1
14,SPECIES_KAKUNA,Kakuna,Bug,Poison,Shed Skin,,45,25,50,25,25,35,205,120,127,Bug,Bug,TRUE,28,1,Yes,Johto,,1
15,SPECIES_BEEDRILL,Beedrill,Bug,Poison,Swarm,,65,90,40,45,80,75,395,45,127,Bug,Bug,TRUE,29,1,Yes,Johto,,1
16,SPECIES_PIDGEY,Pidgey,Normal,Flying,Keen Eye,Tangled Feet,40,45,40,35,35,56,251,255,127,Flying,Flying,TRUE,10,1,Yes,Kanto,,1
17,SPECIES_PIDGEOTTO,Pidgeotto,Normal,Flying,Keen Eye,Tangled Feet,63,60,55,50,50,71,349,120,127,Flying,Flying,TRUE,11,1,Yes,Kanto,,1
18,SPECIES_PIDGEOT,Pidgeot,Normal,Flying,Keen Eye,Tangled Feet,83,80,75,70,70,101,479,45,127,Flying,Flying,TRUE,12,1,Yes,Kanto,,1
19,SPECIES_RATTATA,Rattata,Normal,,Run Away,Guts,30,56,35,25,35,72,253,255,127,Field,Field,TRUE,17,1,No,,,1
20,SPECIES_RATICATE,Raticate,Normal,,Run Away,Guts,55,81,60,50,70,97,413,127,127,Field,Field,TRUE,18,1,No,,,1
21,SPECIES_SPEAROW,Spearow,Normal,Flying,Keen Eye,,40,60,30,31,31,70,262,255,127,Flying,Flying,TRUE,13,1,No,,,1
22,SPECIES_FEAROW,Fearow,Normal,Flying,Keen Eye,,65,90,65,61,61,100,442,90,127,Flying,Flying,TRUE,14,1,No,,,1
23,SPECIES_EKANS,Ekans,Poison,,Intimidate,Shed Skin,35,60,44,40,54,55,288,255,127,Field,Dragon,TRUE,50,1,Yes,Johto,,1
24,SPECIES_ARBOK,Arbok,Poison,,Intimidate,Shed Skin,60,95,69,65,79,80,448,90,127,Field,Dragon,TRUE,51,1,Yes,Johto,,1
25,SPECIES_PIKACHU,Pikachu,Electric,,Static,,35,55,40,50,50,90,320,190,127,Field,Fairy,TRUE,22,1,Yes,Kanto,,1
26,SPECIES_RAICHU,Raichu,Electric,,Static,,60,90,55,90,80,110,485,75,127,Field,Fairy,TRUE,23,1,Yes,Kanto,,1
27,SPECIES_SANDSHREW,Sandshrew,Ground,,Sand Veil,,50,75,85,20,30,40,300,255,127,Field,Field,TRUE,48,1,Yes,,,1
28,SPECIES_SANDSLASH,Sandslash,Ground,,Sand Veil,,75,100,110,45,55,65,450,90,127,Field,Field,TRUE,49,1,Yes,,,1
29,SPECIES_NIDORAN_F,Nidoran♀,Poison,,Poison Point,Rivalry,55,47,52,40,40,41,275,235,254,Monster,Field,TRUE,95,1,No,,,1
30,SPECIES_NIDORINA,Nidorina,Poison,,Poison Point,Rivalry,70,62,67,55,55,56,365,120,254,Undiscovered,Undiscovered,TRUE,96,1,No,,,1
31,SPECIES_NIDOQUEEN,Nidoqueen,Poison,Ground,Poison Point,Rivalry,90,92,87,75,85,76,505,45,254,Undiscovered,Undiscovered,TRUE,97,1,No,,,1
32,SPECIES_NIDORAN_M,Nidoran♂,Poison,,Poison Point,Rivalry,46,57,40,40,40,50,273,235,0,Monster,Field,TRUE,98,1,No,,,1
33,SPECIES_NIDORINO,Nidorino,Poison,,Poison Point,Rivalry,61,72,57,55,55,65,365,120,0,Monster,Field,TRUE,99,1,No,,,1
34,SPECIES_NIDOKING,Nidoking,Poison,Ground,Poison Point,Rivalry,81,102,77,85,75,85,505,45,0,Monster,Field,TRUE,100,1,No,,,1
35,SPECIES_CLEFAIRY,Clefairy,Fairy,,Cute Charm,Magic Guard,70,45,48,60,65,35,323,150,190,Fairy,Fairy,TRUE,41,1,Yes,Johto,,1
36,SPECIES_CLEFABLE,Clefable,Fairy,,Cute Charm,Magic Guard,95,70,73,95,90,60,483,25,190,Fairy,Fairy,TRUE,42,1,Yes,Johto,,1
